Authors,Year,Title,Study_Type,Country,Sample_Size,Population,Intervention,Control,Primary_Outcome,Key_Results,Hemodynamic_Definition,Quality_Score,Include_Meta_Analysis,Notes
"Fu CY, et al.",2021,"Hypotension does not always equal hemodynamic instability in trauma",Retrospective,Taiwan,248,Hypotensive trauma patients,WBCT based on shock index,WBCT based on BP alone,Appropriate imaging decisions,"Shock index better predictor than BP alone","SBP <90 vs Shock Index >0.9",Moderate,Yes,"Alternative hemodynamic assessment"
"Treskes K, et al.",2020,"Refining indications for total-body CT in polytrauma",Prospective validation,Netherlands,1083,Trauma patients,Clinical decision rule,Standard assessment,Appropriate WBCT use,"Decision rule safely reduced unnecessary WBCT",Clinical criteria,High,No,"Stable patient focus"
"Raptis CA, et al.",2022,"American College of Radiology Appropriateness Criteria for Major Blunt Trauma",Guideline,USA,NA,Blunt trauma,WBCT recommendations,NA,NA,"WBCT appropriate for severe mechanism",Clinical criteria,High,Reference,"US radiology guidelines"
"EAST Practice Guidelines",2020,"Imaging in Trauma: Practice Management Guidelines",Guideline,USA,NA,Trauma patients,Evidence-based imaging,NA,NA,"Conditional recommendation for WBCT",Various,High,Reference,"US trauma surgery guidelines"
"Rossaint R, et al.",2023,"The European guideline on management of major bleeding and coagulopathy following trauma",Guideline update,Europe,NA,Bleeding trauma patients,Integrated management,NA,NA,"WBCT with ongoing resuscitation",Active bleeding,High,Reference,"Bleeding management guidelines"
"Kanz KG, et al.",2010,"Trauma management incorporating focused assessment with CT",Prospective,Germany,360,Major trauma,WBCT protocol,Historical controls,Time to diagnosis and mortality,"Reduced time to diagnosis (30 vs 70 min)",Mixed population,Moderate,Yes,"Early protocol development"
"Weninger P, et al.",2007,"Emergency room management of polytrauma: WBCT improves survival",Retrospective,Austria,370,Polytrauma patients,WBCT,Conventional imaging,Mortality,"Lower mortality with WBCT (5.9% vs 11.5%)",ISS >16,Moderate,Yes,"Early supportive evidence"
"Yeguiayan JM, et al.",2012,"Impact of whole-body CT on mortality and surgical management",Prospective multicenter,France,1950,Severe trauma,WBCT,Selective CT,30-day mortality,"No difference in mortality but faster surgical decisions",Mixed population,High,Yes,"French multicenter study"
"Sierink JC, et al.",2014,"Radiation exposure and cost-effectiveness of immediate total-body CT",Secondary analysis of RCT,Netherlands,1403,Severe trauma,Immediate WBCT,Selective CT,Radiation dose and costs,"Higher radiation (20.6 vs 20.0 mSv) but cost-effective",Mixed population,High,No,"Cost-effectiveness focus"
"Davies RM, et al.",2015,"Whole-body CT for multi-trauma: Survey of UK practice",Survey,UK,183 centers,Trauma centers,Current practice,NA,WBCT availability and use,"Variable practice; 70% use WBCT for unstable patients",Survey data,Moderate,No,"Practice variation documented"
